title,lead author,year,publication type,genetics,genomic,evolution,sex differences,dosage (test),mechanism,cell stuff,issue,development,epigenetics,methods,treatment,race,unsure,irrelevant,notes etc
The quantitative genetics of sexual dimorphism: assessing the importance of sex-linkage,fairbairn,2006,review,,,x,x,,,,,,,testing theory regarding evolution of sexual dimorphism,,,x,,
Examining the contribution of histone modification to sex differences in learning and memory,keiser,2019,review ,,epigenome?,,x,,,,"learning, memory",,chromatin modification,,,,,,
Analysis of the pseudoautosomal X-linked gene SYBL1in bipolar affective disorder: description of a new candidate allele for psychiatric disorders,saito,2000,study,"sex-linked portion of chrX, Xq28, SYBL1",,,,,"father-to-son transmission, xci, SNPs",,BPD,,,"single-strand conformation polymorphism analysis, DNA seq analysis",,,,,
Rethinking rare disease: longevity-enhancing drug targets through X-linked aneuploidy,taylor-king,2022,,,,,x,,,,"complex disease, age",,,mendelian randomisation-inspired analysis,i think,,x,,
Mutations in PDHA1; The continual clinical and genetic heterogeneity story: Are there gender differences?,emrick,2012,study,,,,x,,changes to gene/deficiency of gene,,pyruvate dehydrogenase complex deficiency,,,sequence analysis to ID mutations,,,,,
The pseudoautosomal regions of the human sex chromosomes,rappold,1993,review,,PAR,,,,,,,,,,,,,,
"Parent Project Muscular Dystrophy Females with Dystrophinopathy Conference, Orlando, Florida June 26 - June 27, 2019",apkon,2021,conference proceedings,,,,,,,,,,,,,,,,
Sequential X chromosome inactivation coupled with cellular differentiation in early mouse embryos,monk,1979,,,,,,,,,,,,,,,,,
"First-generation linkage map of the gray, short-tailed opossum, Monodelphis domestica, reveals genome-wide reduction in female recombination rates",samollow,2004,proposal,,,,,,,,,,,,,,,x,possum
A starring role for microglia in brain sex differences,lenz,2015,review,,,,,,,microglia,"brain-based disorders, brain",brain development,,,,,,x,
Cognitive and neurological aspects of sex chromosome aneuploidies,hong,2014,,,,,,,sex chromosome aneuploidies (abnormal number of X or Y),,,,,,,,,,
Desmoid tumor is a clonal cellular proliferation: PCR amplification of HUMARA for analysis of patterns of X-chromosome inactivation,lucas,1997,study,,,,,,"clonal cell population vs polyclonal reactive process, xci",desmoid tumor,,,,"patterns of xci analyzed, PCR",,,,x,
Skewed X-chromosome inactivation: cause or consequence?,brown,1999,editorial,,,,,,xci,,,,,,,,,,
The spectrum of sex differences in cancer,rubin,2022,review,,,,,,,,cancer,,,,,,,,
Genetic and Epigenetic Factors Underlying Sex Differences in the Regulation of Gene Expression in the Brain,ratnu,2017,,,,,x,dosage of x and   y,sex-specific molecular processes in the brain,,"brain function, neuropsychiatric disorders",,,,,,,,
Xist attenuates acute inflammatory response by female cells,shenoda,2021,study,xist,,,x,elevated xist levels,"NF-kB nuclear migration, xci",mouse J774A.1 and human AML193 monocytes,Lipopolysaccharide-mediated acute inflammation,,,,,,x,,
Prenatal sex differentiation: genetic and hormonal control,lenz,1974,review,,,,,,xci,,"sex organs, x-linked conditions",,,,,,x,,
A Boundary of Long-Range G+C-Percent Mosaic Domains in the Human Mhc Locus - Pseudoautosomal Boundary-Like Sequence Exists near the Boundary,fukagawa,1995,,"MHC locus, PAB1X, PAB1Y",,,,,"C+G mosaic structures, mosaicism",,,,,,,,x,,
Autism-lessons from the X chromosome,marco,2006,review,,,,,,"aneuploidies, trne, nucleotide mutations",,autism spectrum disorders,,,,,,,,
"Gpbox (Psx2), a homeobox gene preferentially expressed in female germ cells at the onset of sexual dimorphism in mice",takasaki,2000,study,"GPBOX, Pem, Psx1",,?,,,,,oogenesis,,,mass excision and isolation of plasmid DNA,,,,,
Adrenoleukodystrophy in female heterozygotes: underrecognized and undertreated,jangouk,2012,review,ABCD1,,,x,,"mutations, peroxisomal beta-oxidation of long chain fatty axids, xci ",,"X-linked adrenoleukodystrophy, X-ALD, progressive myelopathy",,,,,,,,
Fabry disease: An ultrastructural comparative study of skin in hemizygous and heterozygous patients,navarro,2006,study,,,,x,,"alpha galactosidase A deficiency, levels of enzymatic activity in accordnce with xci",,"x-linked lysosomal storage diorder, fabry disease",,,"""electron microscopy and quantitative methods, we studied the extent of lysosomal deposits in dermal fibroblasts of normal-appearing skin in six females and nine men""",,,,,
X linked retininits pigmentosa,bird,1975,study,,,,,,peripheral etinal pigment epithelial atrophy,,x-linked retinitis pigmentosa,,,,,,x,,
A Complex Suite of Forces Drives Gene Traffic from Drosophila X Chromosomes,meisel,2009,study,,,,,,"duplication of genes by retrotransposition from chrX, distinguish/determine certain hypotheses including exci",,,,,"""we identified duplicated genes in nine sequenced Drosophila genomes""",,,x,,drosophila
The role of sex in the genomics of human complex traits,khramtsova,2019,review,,,,x,,,,complex traits,,,,,,,,
"The 39,XO mouse as a model for the neurobiology of Turner syndrome and sex-biased neuropsychiatric disorders",,2007,review,,,,,,loss of X,,turner syndrome,,,"39,XO mouse model of TS (discussing it)",,,,,
Sex difference in Mecp2 expression during a critical period of rat brain development,kurian,2007,study,MeCP2,,,,,expression levels,,"pervasive developmental disorder, rett syndrome",,,rat model,,,,,
Small amounts of functional ATP7A protein permit mild phenotype,moller,2015,study,ATP7A,,,x,,"xci, mutations (what is the relationship between geno and pheno), preferential xci",,"menkes disease, occipital horn syndrome, x-linked disal motor neuropathy",,,"examination of xci pattern, effect of exon-deletions and duplications, splice site mutations",x,,,,
Differential effects of genetic susceptibility factors in males and females with multiple sclerosis,sadovnick,2013,,,,,x,,gonadal hormones,,multiple sclerosis,"embryogenesis, sexual differentiation",,mouse model with spontaneous translocation producing four different sets of sex chromosomes,,,x,,
Sexual differentiation in the developing mouse brain: contributions of sex chromosome genes,wolstenholme,2013,study,allegedly some genes which exci,,,,,"xci , gene expression differences",,,,,,,,,,
Sex-related factors in autoimmune liver diseases,schwinge,2019,review,,,,x,,,,"autoimmune diseases, autoimmune hepatitis, primary biliry chrolangitis, primary sclerosing cholangitis, autoimmune liver diseases",,,,,,,,
Sex differences in activity of glucose 6 phosphate dehydrogenase from cultured human fetal lung cells despite X inactivation,steele,1973,follow-up report,G6PD,,,x,,NOT xci,fibroblasts cultured from m/f fetal lung,,,,,,,,,
Sex ratio and rheumatic disease,lockshin,2002,review,,,,x,,"xci, imprinting, x/y chr genetic modulators, intrauterine influences, etc etc",,"thyroid, rheumatic, hepatic diseases",,,,,,,,
Advancing our understanding of the inheritance and transmission of pectus excavatum,horth,2012,study,pectus disease-associated allele,,,x,,"autosomal recessive, genetic control, xci?",,pectus excavatum,,,evaluation of 48 peidgrees and 56 clinical traits,,,,,
Clinical Outcomes in High-Risk Pregnancies Due to Advanced Maternal Age,correa-de-araujo,2021,,,,,,,,,"advanced maternal age, delayed child bearing",,,,,,x,,
"Child Health, Developmental Plasticity, and Epigenetic Programming",hochberg,2011,review,,,,,,,,,plasticity in development,,,,,,,
Alport's syndrome: can carriers be identified by audiometry?,sirimanna,1995,study,,,,x,,,,alport's syndrome,,,examination of obligate nad possible carriers with pure-tone audiometry and audioscan method,,,,x,
Gender imbalance confounds meta-analysis of pre-eclampsia microarray studies of the placental transcriptome,dopierala,2017,meta-analysis,"XIST, STS and FHL1 (exci); CD24P4, DDX3Y, EIF1AY, EIF4A1P2, KDM5D, RPS4Y1, UTY & USP9Y (chrY)",,,x,,"exci, gene regulation",,pre-eclampsia,feto-placental sex,,developed method to ID sex of samples from published pre-eclampsia microarray studies,,,,,
Prohibitin: A hypothetical target for sex-based new therapeutics for metabolic and immune diseases,mishra,2019,,,,,x,,,"prohibitin; adipocytes, macrophages","metabolic disease, immune diseases, cancer",,,,,,x,,
Sexual dimorphism of miRNA expression: A new perspective in understanding the sex bias of autoimmune diseases,dai,2014,review,,,,x,,a bunch of them,,autoimmune diseases,,epigenetic rgeulation by miRNAs,,,,,,
Xq22 deletions and correlation with distinct neurological disease traits in females: Further evidence for a contiguous gene syndrome,hijazi,2020,study,PLP1,,,,,"Xq22 deletions, skewed xci, breakpoints",,neurological disease,,,cohort of eight unrelated patients with these deletions > high-density array comprative genomic hybridization and breakpoint-junction sequencing,,,,,
Synteny conservation of the Z chromosome in 14 avian species (11 families) supports a role for Z dosage in avian sex determination,nanda,2008,study,"GGAZ orthologous genes (DMRT1, GHR, CHRNB3, ALDOB, B4GALT1)",,synteny conservation across 14 bird species,,,"xci, zci",,,,,,,,,,chickens
Sex-specific rates of transmission of psychosis in the New England high-risk family study,goldstein,2011,study,,,,x?,,"chrX abnormalities, sex-specific transmission",,psychosis,,,"compared the proportion of M:F offspring with psychoses by affected parent sex and the consistency for SPS compared to AP parents, and tested (logistic regression) whether there was a significant diffbetween affected mothers and fathers",,,,,
Developmental sexual dimorphism and the evolution of mechanisms for adjustment of sex ratios in mammals,cameron,2017,,,,in mammals,x,,"sex allocation theory, dimorphism by chromosomal influence",,,pregonadal sexual dimorphism,,suggest methods to test evolutionary significance of sex allocation in mammals,,,,,
"Developmental, tissue specific, and sex differences in activity among three enzymes from human erythrocytes and cultured fibroblasts",steele,1973,,G6PD,,,x,,"G6PD specific activity, xci","erythrocytes from newborns and prenatal cultural lung, fibroblasts",,,,,,,,,
Quantitative measurement of transcript levels throughout human preimplantation development: Analysis of hypoxanthine phosphoribosyl transferase,taylor,2001,"study, method proposal",,,,,,HPRT expression,unfertilized oocyte,preimplantation development,,,development of competitive reverse transcription-polymerase chain reaction,,,,,
Sexually dimorphic expression of the X-linked gene Eif2s3x mRNA but not protein in mouse brain,xu,2006,experiment,Eif2s3x ,,,x,,"xci, exci (mouse and human)",,"brain sexual differentiation, brain",,,"northern blot analysis, in situ hybridization",,,,,
Sex differences in autism spectrum disorders,werling,2013,review,,,,x,,,,autism spectrum disorder,,,,,,,,
The Non-random Location of Autosomal Genes That Participate in X Inactivation,migeon,2019,hypothesis proposal,,"chr19, autosomal genes",mammals?,,,xci,,,,,,,,,,proposing hypothesis
Dosage compensation of X chromosome inactivation center (XIC)-linked genes is already achieved in porcine blastocyst,hwang,2015,study,"xic-linked genes (xist, CHIC1, LOC102165544 (uncharacterized), RLIM)",,,,,"xci, gene regulation","embryonic fibroblast, porcine blastocyst",,,,"""we identified XIC in pig and analysed the dosage differences of XIC-linked gene in porcine embryos""",,,,,
Aetiology of idiopathic scoliosis: Current concepts,burwell,2003,review,,,,,,"growth velocity, potential residual spinal growth assessed by maturuity factors, among other things",,"three-dimensional spinal deformity of idopathic sclerosis, progressive adolescent idiopathic sclerosis",,,,,,,,
A cytogenetic study directly from chorionic villi of 140 spontaneous abortions,eiben,1987,study,,?,,,,"abnormal karyotypes (trisomy, polyploidy, etc), possible xci",,"spontaneous abortions, fetus",,,"conventional tissue cultures, analyzing chromosomes directly from chorionic villi",,,,,
X chromosome inactivation in blood and prefrontal cortex of women with alcoholism,manzardo,2011,study,,,,,,"xci, xci skewing (not significant)",,"alcoholism, primary alcoholism, neurological, embryonic development",,,PCR of the polymorphic androgen receptor gene on long arm of chrX,,,,,
"Inheritance of most X-linked traits is not dominant or recessive, just X-linked",dobyns,2004,review,,,,,,many (expression?),,x-linked disorders,,,,,,,,contradicting original mendelian ideas
X-inactivation in female human iPSCs - A tool for research on brain development,kaseberg,2018,study,"MID1, FGF2",,,,,"xci, exci, frameshift mutation",iPSCs,brain developent,,,"""We planned to use these cells as isogenic controls and differentiate them into NPCs and neurons, to get a better understanding of Opitz BBB/G syndrome""",,,,,
X chromosome constitution and the human female phenotype,therman,1980,,,,,,,abnormal x chromosome constitutions,,,,,,,,,,hypothesis discussion?
Down's syndrome in the male. Reproductive pathology and meiotic studies,johannisson,1983,case study,,,,,,trisomy chr21 ,testicular histology,"down's syndrome, spermatogensis, reproductive function",,,light/electron microscopy,,,,,
Gender specific issues in hereditary ocular disorders,iragavarapu,2015,review,,,,x (gender),,,,hereditary ocular disorders,,,,,,,,
Germline-derived DNA methylation and early embryo epigenetic reprogramming: The selected survival of imprints,monk,2015,review,,,,,,,,,,DNA methylation,,,,,,
"In vitro production and nuclear transfer affect dosage compensation of the X-linked gene transcripts G6PD, PGK, and Xist in preimplantation bovine embryos",wrenzycki,2002,experiment,"G6PD, PGK, XIST",,,,,in vitro production and nucelar transfer on relative abundance of x-linked transcripts (expression),blastocysts,,preimplantation bovine embryos,,"mRNA expression analysis, ",,,,,
Genetics of systemic lupus erythematosus II. Genetic factors and differences in the disease prevalence in males and females,bosak,2016,review,,,,x,,genetic ones,,sle,,,,,,,,
Escape from X chromosome inactivation and female bias of autoimmune diseases,mousavi,2020,review,,,,x,,"xci, exci",,autoimmune disease,,,,,,,,
The immunobiology of female predominance in primary biliary cholangitis,gerussi,2018,review,,,,x,,"hormones, genetics, use of mouse model, etc",,"primary biliary chonlangitis, autoimmune liver disease",,,,,,,,
Modeling X Chromosome Data Using Random Forests: Conquering Sex Bias,winham,2016,,,,,,,chrX SNPs,,,,,"machine learning methods (randomforests), proposing new modeling method",,,,,
The role of oxidative stress in Rett syndrome: An overview,de felice,2012,review,MeCP2,,,,,oxidative stress,,rett syndrome,,,,,,,,
Borjeson-Forssman-Lehmann syndrome in a girl,matsuo,1984,case study,,,,,,potential skewed xci,,borjeson-forssman-lehmann syndrome,,,,,,,,
Genetic and epigenetic incompatibilities underlie hybrid dysgenesis in Peromyscus,vrana,2000,experiment,,,,,,"reciprocal backcrosses, hybrid inviability, skewed xci",,,embryonic and placental growth,,,,,,x,rodents
"Imprinting, Inactivation and the Behavioural Genetics of the X Chromosome",craig,2011,review,,,,,,"chrX imprinting, inactivation",,,,,,,,,,
Male systemic lupus erythematosus: a review of sex disparities in this disease,lu,2010,review,,,,x,,,,"male sle, sle",,,,,,,,
The evolution of powerful yet perilous immune systems,graham,2022,review,,,x,,,,,"infections, immune response",,,,,,,,
Sex-specific expression of CXORF21 provide molecular explanation for the fundamental difference in male and female immune response: an explanation for female-bias SLE pathogenesis,scofield,2018,experiment,"CXORF21, TLR7, NOD1",,,x,,"chrX dosage, exci, lots of protein interactions..., skewing",monocytes,sle,,,"PCR, western blot protein analysis. bio-plex cytokine immunoassay, pHrodoTM assay, crispr-cas9 knockdown experimetns",,,,,
"Spermine synthase (SMS), a placenta specific x chromosome inactivation (XCI) escapee, mediates sex-differences in placental mitochondrial function",aye,2019,experiment,,,,x,,"exci (placental specific), regulation by spermine synthase, polyamine and mitochondrial metabolism interaction",primary human trophoblast cells,pregnancy,fetal sex differences,,"polyamines and tricarboxylic acid cycle intermediates were measured, cell isolations, RNAseq, western blots. linear regression analyses, gene set enrichment analysis",,,,,female placenta has unique profile of genes that exci
Severe factor VIII deficiency in a chromosomally normal female,stormorken,1986,case study,,,,,,"???????, severe factor VIII deficiency",,hemophilia,,,factor VIII:C and factor VIII:CAg assays,,,,,
Spontaneous haemophilia in a genotypically normal female. A family study,afifi,1974,case study,,,,,,severe antihaemophilic globulin deficiency,,spontaneous haemophilia A,,,,,,,,
Fabry's Disease Presenting as Stroke in a Young Female,giacomini,2004,case study,,,,x,,,,fabry's disease,,,,,,,,
Sexually dimorphic expression of co-repressor Sin3A in mouse kidneys,xu,2005,experiment,"Sin3A, HDAC1",,,,,gene expression,,,,,western blot analysis,,,,,mouse kidneys
An overview of X inactivation based on species differences,migeon,2016,review,,,species variation,,,x-inactivation,,,,,,,,,,
Integrated Genomic Analysis of Diverse Induced Pluripotent Stem Cells from the Progenitor Cell Biology Consortium,salomonis,2016,study (compiled),,,,,,"correlation between gene expression, DNA methylation, and/or copy-number variation, xci",pluripotent stem cells,,,,"comprehensive experimetnal and genomic analyses of 58 iPSC from ten labs, associated global molecular characterization studies",,,,,
Role and control of X chromosome dosage in mammalian development,schulz,2013,review,,,in mammals,,,dosage compensation,,,mammalian developent,,,,,,,
X chromosome and female bias in systemic lupus erythematosus: Focus on population-based evidence,di,2019,,,,,x,,chrX,,lupus,,,,,,x,,
"Mucopolysaccharidosis type II, Hunter's syndrome",tylki-szymanska,2014,,,,,x,,,,hunter syndrome,,,,,,,,
Editorial: Sexual Dimorphism of the Immune Inflammatory Response in Infectious and Non-infectious Diseases,chamekh,2019,editorial,,,,,,inflammatory response,,"infectious, non-infectious diseases",,,,,,,,
Female-biased embryonic death from inflammation induced by genomic instability,mcnairn,2019,experiment,MCM loci,,,,,"genetic instability, mutations in heterohexameric minichromosome maintenance complex, NOT xci, ""maleness""",,embryo lethality,female mouse embryos,,,,,,,
Twins as a tool for evaluating the influence of genetic susceptibility in thyroid autoimmunity,brix,2011,,,,,,,xci,,thyroid autoimmunity,,,proposing twin studies,,,,,
Tissue-specific expression of human arylsulfatase-C isozymes and steroid sulfatase,munroe,1987,experiment,"steroid sulfatase, arylsulfatase-C (enzymes)",,,,,exci,,,,,,,,,,
High frequency of the X-chromosome inactivation in young female patients with high-grade glioma,li,2013,study,,X,,,,xci,xci pattern in blood cells and brain tissues with skewed-xci frequencies with females patiets with high grade glioma vs healthy,gliomas,,,"patient tissue studies, genomic DNA extraction, exons amplified, silver staining",,,,,
Cell-type and sex-specific targets of prenatal alcohol exposure in the developing mouse cerebral cortex: Identification of novel mechanisms for teratogenesis,salem,2021,experiment,"differentially regulated genes, autism-linked genes",,,,,"prenatal alcohol exposure, gene inhibition, neural loss of xci",murine fetal cerebral cortical cells from six timed pregnancies,cerebral cortical dysgenesis,,,"single-cell RNAseq, analysis of 38 distinct neural subpopulations across 8 lineage subtypes",,,,,
"Why females are mosaics, x-chromosome inactivation, and sex differences in disease",migeon,2007,review,,,,x,,xci,,,,,,,,,,
Differential and correlation analyses of microarray gene expression data in the CEPH Utah families,tan,2008,study,,,,,,"gene expression, aging",,,,,microarray gene expression data in the CEPH utah families,,,,,
The phenotypic consequences of MECP2 mutations extend beyond Rett syndrome,hammer,2002,,MECP2,,,,,xci,,rett syndrome,,,,,,,,
Sexually Dimorphic Gene Expression in Bovine Conceptuses at the Initiation of Implantation,forde,2016,study,,,,,,"xci, transcript abundance",,cattle pregnancy,,,,,,,x,cattle
Changes in gonocyte nuclei at different stages of their differentiation in early human female embryos,semenova-tien-shanskaja,1978,study,,,,,,,gonocyte nuclei,,human embryos,,"14 human female embryo studies, paraffin sections",,,x,,
The Role of 5-aza-2 '-Deoxycytidine on Methylation Status of Xist Gene in Different Genders of Buffalo (Bubalus bubalis) Bone Marrow Mesenchymal Stem Cells,zho,2019,experiment,,,,potentially,,methylation status,buffalo bone marrow mesenchymal stem cells,,,dna methylation level,cell isolation and identification through PCR,proper concentration of 5-aza-CdR treatmet,,,,
Evidence of sex differences in cellular senescence,ng,2022,review,,,,x,,cellular sensescence (in response to persistant DNA damage signaling),,,,,,,,,,
Effects of Oxidative Stress and Inhibitors of the Pentose Phosphate Pathway on Sexually Dimorphic Production of IFN-τ by Bovine Blastocysts,kimura,2004,experiment,,,,,,,"bovine interferon-tau, blastocysts",,cow embryo,,,,,,x,
Haldane's rule in the placenta: Sex-biased misregulation of the Kcnq1 imprinting cluster in hybrid mice,arevalo,2021,study,Kcnq1 cluster,,,,,"inviability in mammalian hybrids, misregulation of imprinted genes, haldane's rule",,parent-of-origin placental growth abnormalities,,hypermethylation,mouse hybrids,,,,,
X chromosome inactivation and epigenetic responses to cellular reprogramming,lessing,2013,review,xist,,,,,xci,"induced pluripotent stem cells, embryonic stem cells",,,,,,,,,
Sex differences in genetic mechanisms for mammalian brain and behavior,maxson,1997,,"nonrecombo region on Y, sry",,,x,,xci,,,,,,,,,,
ESS gene expression of X-linked imprinted genes subject to sexual selection,seymour,2006,"study, analysis",,,evolutionary stable strategy conditions,,,genomic imprinting,,,,,models that map cellular gene expression to fitness in females subject to random xci,,,x,,
Imprinted and X-linked non-coding RNAs as potential regulators of human placental function,buckberry,2014,review,noncoding RNAs,x,,,,,,pregnancy,placental development,,,,,,,
"Short stature due to SHOX deficiency: Genotype, phenotype, and therapy",binder,2011,review,SHOX,,,,,"SHOX deficiency, exci",,short stature,,,,,,,,
Genetic and epigenetic underpinnings of sex differences in the brain and in neurological and psychiatric disease susceptibility,qureshi,2010,review,,,,x,,,,brain diseases,,x,,,,,,
Potential use of cDNA microarrays to characterize gene expression patterns of sex-specific genes during early development,nino,2003,experiment,,,,,,xci,,,,,"total RNA extracted from muscle samples obtained from M/F bovine fetuses hybridized human 19K cDNA microarray slides, real time PCR",,,,,to study x-linked transcription
Chromosome imbalance as a driver of sex disparity in disease,abramowitz,2014,,,,,x,,"chromosomal abnormalities, exci, xci",,,,,,,,,,
X chromosome-specific cDNA arrays: identification of genes that escape from X-inactivation and other applications,sudbrak,2001,study,,,,,,"expression differences, other gene defects",,monogenic disorders,,,"generation of chrX specific microarrary w/ 2k cloned cDNA fragments, hybridization probe",,,,,
The mouse as a model of fundamental concepts related to Turner syndrome,arnold,2019,,x genes?,,,,,gene dosage,,turner syndrome,,,mice models (XO mice),,,,,
Sex Differences in Immunity,wilkinson,2022,review,,,,x,,,,immunity,,,,,,,,
Molecular signatures of human induced pluripotent stem cells highlight sex differences and cancer genes,anguera,2012,experiment,,,,,,xci,human induced pluripotent stem cells,,,x,x-inactivation markers to separate hiPSClines into distinct epigenetic classes,,,,,
Association of autism with polymorphisms in the paired-like homeodomain transcription factor 1 (PITX1) on chromosome 5q31: a candidate gene analysis,philippi,2007,study,"chr5q31, PITX1, neurogenin 1, H2AFY",,,x,,"hormones, snps, expression",,autism,,,"276 families from autism genetic resource exchane repository, SNP tagging, FBAT software for analysis",,,,,
X-linked dermatoses,happle,1982,,,,,,,"xci, exci",,"x-linked recessive ichthyosis, x-linked disorders",,,,,,,,
N-cadherin expression in motoneurons is directly regulated by androgens: A genetic mosaic analysis in rats,monks,2001,experiment,,,,,,"androgen mediation, N-cad expression, xci",motoneurons,,,,genetic mosaic investigation rat models,,,,,
Evaluation of chemically induced cytogenetic lesions in rabbit oocytes. III. A postimplantation analysis of streptonigrin effects,dufrain,1984,study,,,,,,"structural chromosome aberrations, xci",blastocytes,,embryonic development,,"108 fetuses from 20 female rabbits treated before conception with streotonigrin, karyotype analysis",,,,,
Ratio of male to female births in the offspring of BRCA1 and BRCA2 carriers,chenevix-trench,2005,study,BRAC1/BRAC2,,,x,,"xci, mutations/mutation carriers",,,,,,,,x,,
"Sex chromosomes, recombination and chromatin conformation",mckee,1993,review,,,,,,"""transcriptional inactivation and condensation of heteromorphic sex chromosomes...""; sex chromosome condensation",,,,,,,,,,
"Chromosome-wide profiling of X-chromosome inactivation and epigenetic states in fetal brain and placenta of the opossum, Monodelphis domestica",wang,2014,study,,,,,,"xci, x-linked gene expression",,,,,"profile parent of origin allele specific expression, DNA methylation, histone modifications in fetal brain and extra-embryonic membranes in possums",,,,,possum
A male and female RNA marker to infer sex in forensic analysis,van den berge,2017,experiment,,,,,,RNA profiling,,,,,proposing way for RNA to be profiled for forensics,,,,,
The X chromosome and sex-specific effects in infectious disease susceptibility,schurz,2019,review,,,,x,,chrx,,immunity,,,,,,,,
Dosage compensation is less effective in birds than in mammals,itoh,2007,study,,,between diff animals,,sex chr dosage compensation,,,,,,microarray analysis,,,,,
SLC6A14-mediated higher blood-brain barrier transport of carnitine in females: Relevance to the metabolic sexual dimorphism of brain and the extreme male/ female ratio and in milder autism,beaudet,2017,study,SLC6A14,,,x,,"brain carnitine deficiency, exci",,autism,,,observation of carnitine across blood brain barrier in mice,,,,,
Approaching sex differences in cardiovascular non-coding rna research,jusic,2020,review,,,,,,non-coding RNAs ,,cardiovascular disease,,,,,,,,
Study of the female sex survival advantage in melanoma—a focus on x-linked epigenetic regulators and immune responses in two cohorts,emran,2020,study,"KDM6A, ATRX, KDM5C, DDX3X",,,x,,"xci, exci, expression differences",,melanoma,,,survival and interaction analysis on skin cutaneous melanoma cohort in TCGA,,,,,
Germline chromatin,schaner,2006,,,,,,,germline-specific modes of chromatin assembly,,,,"chromatin, histone modification",,,,,,C. elegans
Escape from x chromosome inactivation and the female predominance in autoimmune diseases,youness,2021,review,,,,,,"xci, exci",,autoimmune disease,,,"""review recent findings indentifying key immune related genes that exci...""",,,,,
Modern conception of carcinogenesis creates opportunities to advance cancer risk assessment,parsons,2018,,,,,,,tumor initiation. cancer driver mutations,hotspot CDMs,cancer,,,proposing way to study CDMs in rodents and humans (i think),,,,,
"ProtocadherinX/Y, a candidate gene-pair for schizophrenia and schizoaffective disorder: A DHPLC investigation of genomic sequence",giouzeli,2004,study,"PCDHX, PCDHY",,x,,,"coding variants, potential xci",,"schizophrenia, schizoaffective psychosis",,,examined differences in genomic sequences of patients ,,,,,
Circulating microRNAs to predict heart failure after acute myocardial infarction in women,lalem,2019,review,,,,yes?,,"left ventricular remodeling after acute myocardial infarction, microRNAs",,acute myocardial infarction,,,,,,,,
Gender as risk factor for autoimmune diseases,gleicher,2007,,,,x,x,,"hormones, xci, feteral-maternal microchimerism ",,autoimmune disease,,,,,,,,
Stochastic gene expression and chromosome interactions in protecting the human active X from silencing by XIST,migeon,2021,hypothesis proposal,,,,,,chr19 duplication,,,,,,,,,,"""how s active X protected by inactivation by its own XIST?"""
Human Immunodeficiency virus 1 and Type I Interferons-where Sex Makes a Difference,ziegler,2017,review,,,,x,,"hormones, dosage compensation",type one interferons,"HIV-1, HIV",,,,,,,,
Comparison of Methods Utilizing Sex-Specific PRSs Derived From GWAS Summary Statistics,zhang,2022,new method proposal,,,,,,,,,,,"polygenic risk score studies, GWAS",,,,,"""Taken together, our findings in this study provide guidance on how to calculate the best PRS for sex-differentiated traits or disorders, especially as the sample size of GWASs grows in the future"""
Differential transcriptome dynamics during the onset of conceptus elongation and between female and male porcine embryos,zeng,2019,experiment,,,,,,transcriptional differences,,,porcine embryos,,rnaseq for single m and f porcine embryos on diff days of pregnancy,,,,,
Autoimmunity in women: an eXamination of eXisting models,yuen,2020,review,,,,x,,,,autoimmune disease,,,,,,,,
B cell-specific XIST complex enforces X-inactivation and restrains atypical B cells,yu,2021,study,"xist, TRIM28, TLR7",,,,,"xci, exci",B cells,,,histone modification,CRISPRi screen,,,,,
How does biological sex affect the physiological response to nanomaterials?,yang,2021,review,,,,x,,,,response to nanomaterials,,,,nanomaterials,,,,
A statistical measure for the skewness of X chromosome inactivation based on family trios,xu,2018,method proposal,,,,,,xci,,,,,statistical approach to measure degree of xci skewing,,,,,
Sex-specific expression of the X-linked histone demethylase gene Jarid1c in brain,xu,2008,,JARID1C,,,x,,sex-specific expression,,brain function,,,,,,,,they don't say it but i think jarid1c was an exits gene
Tsixtricks,weitzman,2002,,,,,,,,,,,,,,,,,
Sex-Specific Development in Haplodiploid Honeybee Is Controlled by the Female-Embryo-Specific Activation of Thousands of Intronic LncRNAs,wang,2021,study,,,,,,"haploid/diploid embryo coordinaaition of genomic activtion, transcriptomal activation",,,embryonic development,,single-embryo rnaseq,,,,,honeybee
Genetics and Vaccine Development for SARS-CoV2 in the Era of Personalized Medicine,tafanidou,2022,article/op-ed,,,,,,,,covid,,,,personalized medicine,,,,
Altered X-chromosome inactivation in T cells may promote sex-biased autoimmune diseases,syrett,2019,study,,,,x,,xci,"thymocytes, mature t cell subsets, t cells from sle patients and mice",sle,,heterochromatin modification,single-cell imaging to determine epigenetic features of xi,,,,,
"Role of histone-3 lysine 27 trimethylation (K27-ME3) in repression of female-specific, growth hormone-regulated genes in male mouse liver",sugathan,2011,experiment,K27me3,,,,,"gene expression regulation through growth hormones, xci",,,,,"chromatin immunoprecipitation combined with high thorughput seqeuncing, mice, IDing broad enriched domains (islands) from genomic sequencing",,,x,,
XCMAX4: A Robust X Chromosomal Genetic Association Test Accounting for Covariates,su,2022,method proposal,,,,,,,,,,,"""we proposed a novel analytic approach based on logistic regression that allows for covariates and does not need to specify the underlying X chromosome inactivation pattern""",,,,,
A brief review of vertebrate sex evolution with a pledge for integrative research: towards 'sexomics',stock,2021,review,,,sex evolution across vertebrates,,,,,,,,sexomes? started from data generated by high-thorughput approaches,,,,,
